date,all_Kamala_Harris,all_Joe_Biden,all_Donald_Trump
2024-10-05,2.0,1.0,5.0
2024-10-06,2.0,1.0,4.0
2024-10-07,2.5,0.0,3.5
2024-10-08,3.0,1.0,4.0
2024-10-09,2.5,0.5,4.0
2024-10-10,2.0,0.0,4.0
2024-10-11,2.5,0.0,4.0
2024-10-12,2.0,0.0,4.0
2024-10-13,2.5,0.0,5.0
2024-10-14,2.5,0.0,5.0
2024-10-15,3.0,0.0,6.0
2024-10-16,4.0,0.0,5.0
2024-10-17,4.5,1.0,5.0
2024-10-18,3.0,0.0,5.0
2024-10-19,3.0,0.0,5.0
2024-10-20,3.5,0.0,6.0
2024-10-21,4.0,0.0,6.5
2024-10-22,3.5,0.0,6.0
2024-10-23,3.5,1.0,6.5
2024-10-24,4.0,1.0,6.5
2024-10-25,4.0,1.0,7.0
2024-10-26,4.0,1.0,8.0
2024-10-27,4.0,1.0,9.0
2024-10-28,4.0,1.0,10.5
2024-10-29,5.0,1.0,9.0
2024-10-30,5.0,2.0,8.5
2024-10-31,4.0,2.0,9.0
2024-11-01,4.0,1.0,8.5
2024-11-02,4.0,1.0,9.0
2024-11-03,6.0,1.0,9.5
2024-11-04,6.5,1.0,10.0
